epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,2961.79,0.54383,0.55207,1.06939,0.82415,0.79197,0.83002,0.66859,0.71223,0.75418,1.23147,0.000197934,0.000197934,0.000197934
65,3007.99,0.53803,0.54612,1.06749,0.8499,0.77501,0.83039,0.67111,0.71205,0.7614,1.22091,0.000192726,0.000192726,0.000192726
66,3054.34,0.54215,0.54346,1.06806,0.85451,0.77332,0.84565,0.68339,0.7098,0.73892,1.22755,0.000187519,0.000187519,0.000187519
67,3100.42,0.54488,0.55384,1.07406,0.87261,0.77346,0.86116,0.69457,0.71451,0.71864,1.22741,0.000182312,0.000182312,0.000182312
68,3146.38,0.51944,0.52806,1.0581,0.86205,0.76704,0.85307,0.69672,0.69825,0.71471,1.20663,0.000177104,0.000177104,0.000177104
69,3192.9,0.52647,0.52202,1.05996,0.83883,0.79057,0.84717,0.68567,0.70379,0.7326,1.21101,0.000171897,0.000171897,0.000171897
70,3238.51,0.52795,0.52606,1.06083,0.85952,0.78027,0.8462,0.68687,0.70325,0.70981,1.21292,0.000166689,0.000166689,0.000166689
71,3284.57,0.52082,0.51536,1.05205,0.83571,0.78816,0.84441,0.68615,0.71004,0.71902,1.21425,0.000161482,0.000161482,0.000161482
72,3330.86,0.5342,0.52563,1.05834,0.85112,0.77415,0.84672,0.69071,0.70588,0.72681,1.21193,0.000156275,0.000156275,0.000156275
73,3377.38,0.52576,0.5099,1.0582,0.85763,0.76504,0.84782,0.68975,0.70201,0.74297,1.2091,0.000151067,0.000151067,0.000151067
74,3423.52,0.5192,0.50185,1.05147,0.86555,0.76218,0.84971,0.69152,0.70728,0.72055,1.21904,0.00014586,0.00014586,0.00014586
75,3470.09,0.51875,0.52129,1.0519,0.86187,0.76811,0.84745,0.6904,0.70914,0.71874,1.22373,0.000140652,0.000140652,0.000140652
76,3516.67,0.52143,0.51051,1.0567,0.85364,0.78512,0.85179,0.69455,0.70158,0.70609,1.21414,0.000135445,0.000135445,0.000135445
77,3562.69,0.51246,0.49896,1.0539,0.8612,0.77841,0.84719,0.68624,0.70903,0.70444,1.22643,0.000130238,0.000130238,0.000130238
78,3609.44,0.50372,0.49419,1.04603,0.844,0.77932,0.84643,0.69058,0.69092,0.72119,1.20726,0.00012503,0.00012503,0.00012503
